reviewer_id,domain,arm,capability_slope_per_week,capability_drop_wk1_4_to_wk21_24,recent_interval_width,recent_deferred_rate,under_reliance_rate,appropriate_skepticism_rate,over_reliance_rate,flag_declining,flag_wide_interval,flag_high_deferred,flag_under_reliant,risk_score,state,intervention,intervention_detail,frequency,stop_condition
C010,code_review,withheld_ai,-0.02052,0.4118,0.8175,0.9375,0.004,0.002,0.1111,1,1,1,0,3,over_reliance_risk,forced_blind_cases + disagreement_prompts + workload_rebalancing,"3 forced blind cases/week (blind_first-style, AI withheld) to both re-exercise independent judgment and tighten the capability interval; disagreement-style prompts on cases with ai_confidence in the 0.40-0.70 band (where override upside is highest); temporarily cut case load ~20% to give slower, deliberate review time; one retraining/feedback session at onset.",weekly (re-evaluate every 2 weeks against handoff refresh),"Step down to 'watch' when: capability_slope turns non-negative over the most recent 4 weeks AND recent_interval_width <= cohort median AND recent_deferred_rate <= cohort median, sustained for 4 consecutive weeks."
C011,code_review,disagreement_prompt,-0.00757,0.1465,0.6177,0.7607,0.073,0.0178,0.0712,0,0,0,0,0,healthy,none,Routine monitoring only; no active intervention.,n/a (passive monitoring via normal handoff refresh),n/a
C012,code_review,control_always_ai,-0.00676,0.1312,0.7531,0.7013,0.0459,0.0388,0.0547,0,1,0,0,1,healthy,none,Routine monitoring only; no active intervention.,n/a (passive monitoring via normal handoff refresh),n/a
C013,code_review,blind_first,-0.0169,0.335,0.344,0.9252,0.0504,0.0,0.087,1,0,1,0,2,watch,forced_blind_cases (light) + disagreement_prompts (targeted),1 forced blind case/week; disagreement prompts only on the lowest-confidence AI band (<0.40) where override is nearly always right. Lighter touch than the full over_reliance_risk tier.,"weekly, reviewed biweekly",Escalate to over_reliance_risk if risk_score reaches 3 at next refresh. Downgrade to healthy (stop) if risk_score <= 1 for 4 consecutive weeks.
C014,code_review,withheld_ai,0.00752,-0.1584,0.4033,0.1782,0.248,0.0536,0.0536,0,0,0,1,0,under_reliant,confidence_calibration_feedback,"Show reviewer their own override cases where AI was correct and high-confidence (>=0.75 stated); pair with the calibration curve (out/calibration_curve.csv) so they see the AI is right far more often than its stated confidence implies in the 0.5-0.85 band. NO forced blind cases and NO disagreement prompts -- they already exercise independent judgment; the fix is trust calibration, not more skepticism.",1 feedback packet / 4 weeks (aligned to handoff cadence),"Stop when trailing 4-week under_reliance_rate <= trailing 4-week appropriate_skepticism_rate for 2 consecutive reviews (8 weeks), i.e. their overrides flip from net-harmful to net-helpful."
C015,code_review,disagreement_prompt,0.01444,-0.2879,0.6263,0.1436,0.0631,0.0937,0.0252,0,0,0,0,0,healthy,none,Routine monitoring only; no active intervention.,n/a (passive monitoring via normal handoff refresh),n/a
R000,chest_xray_triage,control_always_ai,-0.00912,0.1866,0.6444,0.8727,0.0757,0.0189,0.0775,0,1,1,1,2,under_reliant,confidence_calibration_feedback,"Show reviewer their own override cases where AI was correct and high-confidence (>=0.75 stated); pair with the calibration curve (out/calibration_curve.csv) so they see the AI is right far more often than its stated confidence implies in the 0.5-0.85 band. NO forced blind cases and NO disagreement prompts -- they already exercise independent judgment; the fix is trust calibration, not more skepticism.",1 feedback packet / 4 weeks (aligned to handoff cadence),"Stop when trailing 4-week under_reliance_rate <= trailing 4-week appropriate_skepticism_rate for 2 consecutive reviews (8 weeks), i.e. their overrides flip from net-harmful to net-helpful."
R001,chest_xray_triage,blind_first,0.00183,-0.0364,0.5773,0.5187,0.0426,0.0479,0.0479,0,0,0,0,0,healthy,none,Routine monitoring only; no active intervention.,n/a (passive monitoring via normal handoff refresh),n/a
R002,chest_xray_triage,withheld_ai,-0.01939,0.3881,0.8615,0.8996,0.01,0.002,0.0763,0,1,1,0,2,watch,forced_blind_cases (light) + disagreement_prompts (targeted),1 forced blind case/week; disagreement prompts only on the lowest-confidence AI band (<0.40) where override is nearly always right. Lighter touch than the full over_reliance_risk tier.,"weekly, reviewed biweekly",Escalate to over_reliance_risk if risk_score reaches 3 at next refresh. Downgrade to healthy (stop) if risk_score <= 1 for 4 consecutive weeks.
R003,chest_xray_triage,disagreement_prompt,-0.00401,0.0847,0.7022,0.6848,0.0487,0.056,0.0469,0,1,0,0,1,healthy,none,Routine monitoring only; no active intervention.,n/a (passive monitoring via normal handoff refresh),n/a
R004,chest_xray_triage,control_always_ai,-0.01187,0.2352,0.6854,0.9039,0.0592,0.0197,0.0987,0,1,1,0,2,watch,forced_blind_cases (light) + disagreement_prompts (targeted),1 forced blind case/week; disagreement prompts only on the lowest-confidence AI band (<0.40) where override is nearly always right. Lighter touch than the full over_reliance_risk tier.,"weekly, reviewed biweekly",Escalate to over_reliance_risk if risk_score reaches 3 at next refresh. Downgrade to healthy (stop) if risk_score <= 1 for 4 consecutive weeks.
R005,chest_xray_triage,blind_first,0.01295,-0.2592,0.4576,0.1234,0.1213,0.0527,0.0299,0,0,0,1,0,under_reliant,confidence_calibration_feedback,"Show reviewer their own override cases where AI was correct and high-confidence (>=0.75 stated); pair with the calibration curve (out/calibration_curve.csv) so they see the AI is right far more often than its stated confidence implies in the 0.5-0.85 band. NO forced blind cases and NO disagreement prompts -- they already exercise independent judgment; the fix is trust calibration, not more skepticism.",1 feedback packet / 4 weeks (aligned to handoff cadence),"Stop when trailing 4-week under_reliance_rate <= trailing 4-week appropriate_skepticism_rate for 2 consecutive reviews (8 weeks), i.e. their overrides flip from net-harmful to net-helpful."
R006,chest_xray_triage,withheld_ai,-0.01212,0.2448,0.6225,0.9149,0.0398,0.0099,0.0676,0,0,1,0,1,healthy,none,Routine monitoring only; no active intervention.,n/a (passive monitoring via normal handoff refresh),n/a
R007,chest_xray_triage,disagreement_prompt,0.00348,-0.0743,0.6891,0.4429,0.0617,0.0635,0.037,0,1,0,0,1,healthy,none,Routine monitoring only; no active intervention.,n/a (passive monitoring via normal handoff refresh),n/a
R008,chest_xray_triage,control_always_ai,-0.01605,0.3192,0.898,0.9475,0.0304,0.0089,0.0625,0,1,1,0,2,watch,forced_blind_cases (light) + disagreement_prompts (targeted),1 forced blind case/week; disagreement prompts only on the lowest-confidence AI band (<0.40) where override is nearly always right. Lighter touch than the full over_reliance_risk tier.,"weekly, reviewed biweekly",Escalate to over_reliance_risk if risk_score reaches 3 at next refresh. Downgrade to healthy (stop) if risk_score <= 1 for 4 consecutive weeks.
R009,chest_xray_triage,blind_first,-0.00086,0.0196,0.4865,0.6143,0.055,0.0355,0.0479,0,0,0,0,0,healthy,none,Routine monitoring only; no active intervention.,n/a (passive monitoring via normal handoff refresh),n/a
R010,chest_xray_triage,withheld_ai,-0.01971,0.3923,0.6631,0.9625,0.0186,0.0062,0.1031,1,1,1,0,3,over_reliance_risk,forced_blind_cases + disagreement_prompts + workload_rebalancing,"3 forced blind cases/week (blind_first-style, AI withheld) to both re-exercise independent judgment and tighten the capability interval; disagreement-style prompts on cases with ai_confidence in the 0.40-0.70 band (where override upside is highest); temporarily cut case load ~20% to give slower, deliberate review time; one retraining/feedback session at onset.",weekly (re-evaluate every 2 weeks against handoff refresh),"Step down to 'watch' when: capability_slope turns non-negative over the most recent 4 weeks AND recent_interval_width <= cohort median AND recent_deferred_rate <= cohort median, sustained for 4 consecutive weeks."
R011,chest_xray_triage,disagreement_prompt,0.00041,-0.0019,0.6399,0.5974,0.0713,0.0357,0.0517,0,1,0,0,1,healthy,none,Routine monitoring only; no active intervention.,n/a (passive monitoring via normal handoff refresh),n/a
R012,chest_xray_triage,control_always_ai,-0.01697,0.338,0.9474,0.9791,0.0197,0.0162,0.0736,0,1,1,0,2,watch,forced_blind_cases (light) + disagreement_prompts (targeted),1 forced blind case/week; disagreement prompts only on the lowest-confidence AI band (<0.40) where override is nearly always right. Lighter touch than the full over_reliance_risk tier.,"weekly, reviewed biweekly",Escalate to over_reliance_risk if risk_score reaches 3 at next refresh. Downgrade to healthy (stop) if risk_score <= 1 for 4 consecutive weeks.
R013,chest_xray_triage,blind_first,-0.011,0.2194,0.3954,0.7822,0.0547,0.0123,0.0582,1,0,0,0,1,healthy,none,Routine monitoring only; no active intervention.,n/a (passive monitoring via normal handoff refresh),n/a
R014,chest_xray_triage,withheld_ai,-0.0096,0.1903,0.654,0.8186,0.0508,0.0244,0.0732,0,1,1,0,2,watch,forced_blind_cases (light) + disagreement_prompts (targeted),1 forced blind case/week; disagreement prompts only on the lowest-confidence AI band (<0.40) where override is nearly always right. Lighter touch than the full over_reliance_risk tier.,"weekly, reviewed biweekly",Escalate to over_reliance_risk if risk_score reaches 3 at next refresh. Downgrade to healthy (stop) if risk_score <= 1 for 4 consecutive weeks.
R015,chest_xray_triage,disagreement_prompt,-0.00404,0.0767,0.6192,0.5824,0.0701,0.0368,0.0665,0,0,0,0,0,healthy,none,Routine monitoring only; no active intervention.,n/a (passive monitoring via normal handoff refresh),n/a
R016,chest_xray_triage,control_always_ai,-0.01319,0.2624,0.8577,0.9157,0.0267,0.0178,0.0802,0,1,1,0,2,watch,forced_blind_cases (light) + disagreement_prompts (targeted),1 forced blind case/week; disagreement prompts only on the lowest-confidence AI band (<0.40) where override is nearly always right. Lighter touch than the full over_reliance_risk tier.,"weekly, reviewed biweekly",Escalate to over_reliance_risk if risk_score reaches 3 at next refresh. Downgrade to healthy (stop) if risk_score <= 1 for 4 consecutive weeks.
R017,chest_xray_triage,blind_first,-0.0098,0.1963,0.4403,0.7202,0.0475,0.0335,0.0651,0,0,0,0,0,healthy,none,Routine monitoring only; no active intervention.,n/a (passive monitoring via normal handoff refresh),n/a
R018,chest_xray_triage,withheld_ai,-0.01568,0.3154,0.6209,0.9498,0.0591,0.0081,0.0509,1,0,1,0,2,watch,forced_blind_cases (light) + disagreement_prompts (targeted),1 forced blind case/week; disagreement prompts only on the lowest-confidence AI band (<0.40) where override is nearly always right. Lighter touch than the full over_reliance_risk tier.,"weekly, reviewed biweekly",Escalate to over_reliance_risk if risk_score reaches 3 at next refresh. Downgrade to healthy (stop) if risk_score <= 1 for 4 consecutive weeks.
R019,chest_xray_triage,disagreement_prompt,-0.01495,0.3,0.8655,0.9569,0.0254,0.0127,0.098,0,1,1,0,2,watch,forced_blind_cases (light) + disagreement_prompts (targeted),1 forced blind case/week; disagreement prompts only on the lowest-confidence AI band (<0.40) where override is nearly always right. Lighter touch than the full over_reliance_risk tier.,"weekly, reviewed biweekly",Escalate to over_reliance_risk if risk_score reaches 3 at next refresh. Downgrade to healthy (stop) if risk_score <= 1 for 4 consecutive weeks.
R020,chest_xray_triage,control_always_ai,-0.01973,0.3919,0.9841,0.9796,0.023,0.0053,0.0936,0,1,1,0,2,watch,forced_blind_cases (light) + disagreement_prompts (targeted),1 forced blind case/week; disagreement prompts only on the lowest-confidence AI band (<0.40) where override is nearly always right. Lighter touch than the full over_reliance_risk tier.,"weekly, reviewed biweekly",Escalate to over_reliance_risk if risk_score reaches 3 at next refresh. Downgrade to healthy (stop) if risk_score <= 1 for 4 consecutive weeks.
R021,chest_xray_triage,blind_first,0.00752,-0.1525,0.4814,0.3063,0.0956,0.0602,0.0283,0,0,0,1,0,under_reliant,confidence_calibration_feedback,"Show reviewer their own override cases where AI was correct and high-confidence (>=0.75 stated); pair with the calibration curve (out/calibration_curve.csv) so they see the AI is right far more often than its stated confidence implies in the 0.5-0.85 band. NO forced blind cases and NO disagreement prompts -- they already exercise independent judgment; the fix is trust calibration, not more skepticism.",1 feedback packet / 4 weeks (aligned to handoff cadence),"Stop when trailing 4-week under_reliance_rate <= trailing 4-week appropriate_skepticism_rate for 2 consecutive reviews (8 weeks), i.e. their overrides flip from net-harmful to net-helpful."
R022,chest_xray_triage,withheld_ai,-0.01187,0.241,0.6978,0.9299,0.0375,0.0333,0.0771,0,1,1,0,2,watch,forced_blind_cases (light) + disagreement_prompts (targeted),1 forced blind case/week; disagreement prompts only on the lowest-confidence AI band (<0.40) where override is nearly always right. Lighter touch than the full over_reliance_risk tier.,"weekly, reviewed biweekly",Escalate to over_reliance_risk if risk_score reaches 3 at next refresh. Downgrade to healthy (stop) if risk_score <= 1 for 4 consecutive weeks.
R023,chest_xray_triage,disagreement_prompt,-0.01204,0.2423,0.7388,0.8049,0.0432,0.018,0.0701,0,1,0,0,1,healthy,none,Routine monitoring only; no active intervention.,n/a (passive monitoring via normal handoff refresh),n/a
R024,chest_xray_triage,control_always_ai,-0.01912,0.3763,0.9372,0.937,0.0195,0.0071,0.094,0,1,1,0,2,watch,forced_blind_cases (light) + disagreement_prompts (targeted),1 forced blind case/week; disagreement prompts only on the lowest-confidence AI band (<0.40) where override is nearly always right. Lighter touch than the full over_reliance_risk tier.,"weekly, reviewed biweekly",Escalate to over_reliance_risk if risk_score reaches 3 at next refresh. Downgrade to healthy (stop) if risk_score <= 1 for 4 consecutive weeks.
R025,chest_xray_triage,blind_first,0.00414,-0.0782,0.5953,0.4618,0.0503,0.0449,0.0359,0,0,0,0,0,healthy,none,Routine monitoring only; no active intervention.,n/a (passive monitoring via normal handoff refresh),n/a
R026,chest_xray_triage,withheld_ai,-0.00919,0.1901,0.6693,0.815,0.0543,0.0302,0.0805,0,1,1,0,2,watch,forced_blind_cases (light) + disagreement_prompts (targeted),1 forced blind case/week; disagreement prompts only on the lowest-confidence AI band (<0.40) where override is nearly always right. Lighter touch than the full over_reliance_risk tier.,"weekly, reviewed biweekly",Escalate to over_reliance_risk if risk_score reaches 3 at next refresh. Downgrade to healthy (stop) if risk_score <= 1 for 4 consecutive weeks.
R027,chest_xray_triage,disagreement_prompt,0.01037,-0.2032,0.4319,0.2406,0.1747,0.0392,0.0517,0,0,0,1,0,under_reliant,confidence_calibration_feedback,"Show reviewer their own override cases where AI was correct and high-confidence (>=0.75 stated); pair with the calibration curve (out/calibration_curve.csv) so they see the AI is right far more often than its stated confidence implies in the 0.5-0.85 band. NO forced blind cases and NO disagreement prompts -- they already exercise independent judgment; the fix is trust calibration, not more skepticism.",1 feedback packet / 4 weeks (aligned to handoff cadence),"Stop when trailing 4-week under_reliance_rate <= trailing 4-week appropriate_skepticism_rate for 2 consecutive reviews (8 weeks), i.e. their overrides flip from net-harmful to net-helpful."
R028,chest_xray_triage,control_always_ai,-0.02025,0.4017,1.1537,0.9787,0.0161,0.0,0.0986,0,1,1,0,2,watch,forced_blind_cases (light) + disagreement_prompts (targeted),1 forced blind case/week; disagreement prompts only on the lowest-confidence AI band (<0.40) where override is nearly always right. Lighter touch than the full over_reliance_risk tier.,"weekly, reviewed biweekly",Escalate to over_reliance_risk if risk_score reaches 3 at next refresh. Downgrade to healthy (stop) if risk_score <= 1 for 4 consecutive weeks.
R029,chest_xray_triage,blind_first,0.01375,-0.2723,0.4832,0.0441,0.0916,0.0557,0.0431,0,0,0,1,0,under_reliant,confidence_calibration_feedback,"Show reviewer their own override cases where AI was correct and high-confidence (>=0.75 stated); pair with the calibration curve (out/calibration_curve.csv) so they see the AI is right far more often than its stated confidence implies in the 0.5-0.85 band. NO forced blind cases and NO disagreement prompts -- they already exercise independent judgment; the fix is trust calibration, not more skepticism.",1 feedback packet / 4 weeks (aligned to handoff cadence),"Stop when trailing 4-week under_reliance_rate <= trailing 4-week appropriate_skepticism_rate for 2 consecutive reviews (8 weeks), i.e. their overrides flip from net-harmful to net-helpful."
R030,chest_xray_triage,withheld_ai,-0.01389,0.2755,0.5809,0.9447,0.0502,0.0188,0.0879,0,0,1,0,1,healthy,none,Routine monitoring only; no active intervention.,n/a (passive monitoring via normal handoff refresh),n/a
R031,chest_xray_triage,disagreement_prompt,0.0002,-0.0099,0.5423,0.5255,0.0995,0.0266,0.0497,0,0,0,1,0,under_reliant,confidence_calibration_feedback,"Show reviewer their own override cases where AI was correct and high-confidence (>=0.75 stated); pair with the calibration curve (out/calibration_curve.csv) so they see the AI is right far more often than its stated confidence implies in the 0.5-0.85 band. NO forced blind cases and NO disagreement prompts -- they already exercise independent judgment; the fix is trust calibration, not more skepticism.",1 feedback packet / 4 weeks (aligned to handoff cadence),"Stop when trailing 4-week under_reliance_rate <= trailing 4-week appropriate_skepticism_rate for 2 consecutive reviews (8 weeks), i.e. their overrides flip from net-harmful to net-helpful."
R032,chest_xray_triage,control_always_ai,-0.01648,0.3261,0.7772,0.9586,0.0374,0.0125,0.0819,0,1,1,0,2,watch,forced_blind_cases (light) + disagreement_prompts (targeted),1 forced blind case/week; disagreement prompts only on the lowest-confidence AI band (<0.40) where override is nearly always right. Lighter touch than the full over_reliance_risk tier.,"weekly, reviewed biweekly",Escalate to over_reliance_risk if risk_score reaches 3 at next refresh. Downgrade to healthy (stop) if risk_score <= 1 for 4 consecutive weeks.
R033,chest_xray_triage,blind_first,0.00348,-0.0722,0.4307,0.3796,0.094,0.0488,0.0506,0,0,0,1,0,under_reliant,confidence_calibration_feedback,"Show reviewer their own override cases where AI was correct and high-confidence (>=0.75 stated); pair with the calibration curve (out/calibration_curve.csv) so they see the AI is right far more often than its stated confidence implies in the 0.5-0.85 band. NO forced blind cases and NO disagreement prompts -- they already exercise independent judgment; the fix is trust calibration, not more skepticism.",1 feedback packet / 4 weeks (aligned to handoff cadence),"Stop when trailing 4-week under_reliance_rate <= trailing 4-week appropriate_skepticism_rate for 2 consecutive reviews (8 weeks), i.e. their overrides flip from net-harmful to net-helpful."
R034,chest_xray_triage,withheld_ai,0.00884,-0.1785,0.4051,0.254,0.211,0.0426,0.0609,0,0,0,1,0,under_reliant,confidence_calibration_feedback,"Show reviewer their own override cases where AI was correct and high-confidence (>=0.75 stated); pair with the calibration curve (out/calibration_curve.csv) so they see the AI is right far more often than its stated confidence implies in the 0.5-0.85 band. NO forced blind cases and NO disagreement prompts -- they already exercise independent judgment; the fix is trust calibration, not more skepticism.",1 feedback packet / 4 weeks (aligned to handoff cadence),"Stop when trailing 4-week under_reliance_rate <= trailing 4-week appropriate_skepticism_rate for 2 consecutive reviews (8 weeks), i.e. their overrides flip from net-harmful to net-helpful."
R035,chest_xray_triage,disagreement_prompt,-0.00362,0.0658,0.597,0.5768,0.0875,0.0393,0.0661,0,0,0,1,0,under_reliant,confidence_calibration_feedback,"Show reviewer their own override cases where AI was correct and high-confidence (>=0.75 stated); pair with the calibration curve (out/calibration_curve.csv) so they see the AI is right far more often than its stated confidence implies in the 0.5-0.85 band. NO forced blind cases and NO disagreement prompts -- they already exercise independent judgment; the fix is trust calibration, not more skepticism.",1 feedback packet / 4 weeks (aligned to handoff cadence),"Stop when trailing 4-week under_reliance_rate <= trailing 4-week appropriate_skepticism_rate for 2 consecutive reviews (8 weeks), i.e. their overrides flip from net-harmful to net-helpful."
R036,chest_xray_triage,control_always_ai,-0.01735,0.3427,0.9124,0.9669,0.0144,0.0054,0.0848,0,1,1,0,2,watch,forced_blind_cases (light) + disagreement_prompts (targeted),1 forced blind case/week; disagreement prompts only on the lowest-confidence AI band (<0.40) where override is nearly always right. Lighter touch than the full over_reliance_risk tier.,"weekly, reviewed biweekly",Escalate to over_reliance_risk if risk_score reaches 3 at next refresh. Downgrade to healthy (stop) if risk_score <= 1 for 4 consecutive weeks.
R037,chest_xray_triage,blind_first,-0.01747,0.3474,0.347,0.9674,0.0303,0.0036,0.0784,1,0,1,0,2,watch,forced_blind_cases (light) + disagreement_prompts (targeted),1 forced blind case/week; disagreement prompts only on the lowest-confidence AI band (<0.40) where override is nearly always right. Lighter touch than the full over_reliance_risk tier.,"weekly, reviewed biweekly",Escalate to over_reliance_risk if risk_score reaches 3 at next refresh. Downgrade to healthy (stop) if risk_score <= 1 for 4 consecutive weeks.
R038,chest_xray_triage,withheld_ai,-0.01447,0.2885,0.8751,0.9306,0.012,0.0261,0.0823,0,1,1,0,2,watch,forced_blind_cases (light) + disagreement_prompts (targeted),1 forced blind case/week; disagreement prompts only on the lowest-confidence AI band (<0.40) where override is nearly always right. Lighter touch than the full over_reliance_risk tier.,"weekly, reviewed biweekly",Escalate to over_reliance_risk if risk_score reaches 3 at next refresh. Downgrade to healthy (stop) if risk_score <= 1 for 4 consecutive weeks.
R039,chest_xray_triage,disagreement_prompt,-0.01895,0.3767,1.1022,0.9596,0.0089,0.0107,0.0835,0,1,1,0,2,watch,forced_blind_cases (light) + disagreement_prompts (targeted),1 forced blind case/week; disagreement prompts only on the lowest-confidence AI band (<0.40) where override is nearly always right. Lighter touch than the full over_reliance_risk tier.,"weekly, reviewed biweekly",Escalate to over_reliance_risk if risk_score reaches 3 at next refresh. Downgrade to healthy (stop) if risk_score <= 1 for 4 consecutive weeks.
R040,chest_xray_triage,control_always_ai,-0.01125,0.2212,0.6041,0.8403,0.0977,0.0124,0.0906,0,0,1,1,1,under_reliant,confidence_calibration_feedback,"Show reviewer their own override cases where AI was correct and high-confidence (>=0.75 stated); pair with the calibration curve (out/calibration_curve.csv) so they see the AI is right far more often than its stated confidence implies in the 0.5-0.85 band. NO forced blind cases and NO disagreement prompts -- they already exercise independent judgment; the fix is trust calibration, not more skepticism.",1 feedback packet / 4 weeks (aligned to handoff cadence),"Stop when trailing 4-week under_reliance_rate <= trailing 4-week appropriate_skepticism_rate for 2 consecutive reviews (8 weeks), i.e. their overrides flip from net-harmful to net-helpful."
R041,chest_xray_triage,blind_first,0.01504,-0.2981,0.6156,0.1314,0.0519,0.0698,0.0233,0,0,0,0,0,healthy,none,Routine monitoring only; no active intervention.,n/a (passive monitoring via normal handoff refresh),n/a
R042,chest_xray_triage,withheld_ai,-0.00436,0.0876,0.5696,0.6911,0.0757,0.0259,0.0538,0,0,0,1,0,under_reliant,confidence_calibration_feedback,"Show reviewer their own override cases where AI was correct and high-confidence (>=0.75 stated); pair with the calibration curve (out/calibration_curve.csv) so they see the AI is right far more often than its stated confidence implies in the 0.5-0.85 band. NO forced blind cases and NO disagreement prompts -- they already exercise independent judgment; the fix is trust calibration, not more skepticism.",1 feedback packet / 4 weeks (aligned to handoff cadence),"Stop when trailing 4-week under_reliance_rate <= trailing 4-week appropriate_skepticism_rate for 2 consecutive reviews (8 weeks), i.e. their overrides flip from net-harmful to net-helpful."
R043,chest_xray_triage,disagreement_prompt,0.01383,-0.2758,0.6823,0.1606,0.0575,0.0628,0.0072,0,1,0,0,1,healthy,none,Routine monitoring only; no active intervention.,n/a (passive monitoring via normal handoff refresh),n/a
